preprocessing_strategy,k,random_state,silhouette_score,davies_bouldin,calinski_harabasz,cluster_sizes,smallest_cluster_size,largest_cluster_size,smallest_cluster_percentage,largest_cluster_percentage
log_standard,6,21,0.26083156365412685,1.1877802704660503,3647.7177727232533,"{""0"": 851, ""1"": 1224, ""2"": 953, ""3"": 988, ""4"": 1272, ""5"": 590}",590,1272,10.037427696495406,21.640013610071453
log_standard,6,84,0.26093320121202834,1.1862848144544669,3647.7493256504254,"{""0"": 988, ""1"": 1221, ""2"": 850, ""3"": 955, ""4"": 585, ""5"": 1279}",585,1279,9.952364749914937,21.759101735284112
log_standard,6,123,0.2607040339662655,1.187702623594679,3647.7287760099257,"{""0"": 593, ""1"": 1273, ""2"": 1228, ""3"": 848, ""4"": 948, ""5"": 988}",593,1273,10.088465464443688,21.65702619938755
log_standard,7,42,0.26063741907495813,1.1658955319500026,3428.3406346968727,"{""0"": 830, ""1"": 1114, ""2"": 534, ""3"": 967, ""4"": 706, ""5"": 849, ""6"": 878}",534,1114,9.084722694794149,18.952024498128615
log_standard,7,7,0.26094807163907163,1.1658388760194887,3428.373608593443,"{""0"": 872, ""1"": 535, ""2"": 831, ""3"": 968, ""4"": 1116, ""5"": 708, ""6"": 848}",535,1116,9.101735284110243,18.986049676760803
log_standard,7,21,0.2610487634781144,1.1665853641254844,3428.265643706429,"{""0"": 848, ""1"": 716, ""2"": 535, ""3"": 965, ""4"": 861, ""5"": 834, ""6"": 1119}",535,1119,9.101735284110243,19.037087444709087
log_standard,7,84,0.26078359123398576,1.1669385203191334,3428.3308871452386,"{""0"": 873, ""1"": 535, ""2"": 962, ""3"": 833, ""4"": 851, ""5"": 1116, ""6"": 708}",535,1116,9.101735284110243,18.986049676760803
log_standard,7,123,0.26081423655995206,1.1666162275819467,3428.340076376628,"{""0"": 963, ""1"": 872, ""2"": 1116, ""3"": 833, ""4"": 851, ""5"": 535, ""6"": 708}",535,1116,9.101735284110243,18.986049676760803
log_standard,8,42,0.2540226635409349,1.1842216593900845,3244.1259882481363,"{""0"": 711, ""1"": 430, ""2"": 533, ""3"": 802, ""4"": 1106, ""5"": 859, ""6"": 632, ""7"": 805}",430,1106,7.31541340592038,18.815923783599864
log_standard,8,7,0.253956497957423,1.1856033217412385,3244.113572360452,"{""0"": 802, ""1"": 1104, ""2"": 856, ""3"": 434, ""4"": 533, ""5"": 803, ""6"": 633, ""7"": 713}",434,1104,7.383463763184757,18.781898604967676
log_standard,8,21,0.2539768694204816,1.1859365667661186,3244.1022037339717,"{""0"": 860, ""1"": 1104, ""2"": 803, ""3"": 533, ""4"": 713, ""5"": 629, ""6"": 802, ""7"": 434}",434,1104,7.383463763184757,18.781898604967676
log_standard,8,84,0.25403312165018427,1.1852604635050281,3244.0714570002965,"{""0"": 711, ""1"": 431, ""2"": 802, ""3"": 856, ""4"": 635, ""5"": 533, ""6"": 806, ""7"": 1104}",431,1104,7.332425995236474,18.781898604967676
log_standard,8,123,0.25397606960360136,1.1854788225814652,3244.1147369806777,"{""0"": 632, ""1"": 802, ""2"": 803, ""3"": 1104, ""4"": 434, ""5"": 533, ""6"": 713, ""7"": 857}",434,1104,7.383463763184757,18.781898604967676
log_robust,2,42,0.40548998837053174,0.9205056520472129,5845.1399977184965,"{""0"": 2778, ""1"": 3100}",2778,3100,47.26097312010888,52.739026879891114
log_robust,2,7,0.40548998837053174,0.9205056520472129,5845.1399977184965,"{""0"": 2778, ""1"": 3100}",2778,3100,47.26097312010888,52.739026879891114
log_robust,2,21,0.40548998837053174,0.9205056520472129,5845.1399977184965,"{""0"": 2778, ""1"": 3100}",2778,3100,47.26097312010888,52.739026879891114
log_robust,2,84,0.40548998837053174,0.9205056520472129,5845.1399977184965,"{""0"": 3100, ""1"": 2778}",2778,3100,47.26097312010888,52.739026879891114
log_robust,2,123,0.40548998837053174,0.9205056520472129,5845.1399977184965,"{""0"": 2778, ""1"": 3100}",2778,3100,47.26097312010888,52.739026879891114
log_robust,3,42,0.31013500382789727,1.1056465966454228,4826.679699489557,"{""0"": 1479, ""1"": 2328, ""2"": 2071}",1479,2328,25.161619598502895,39.605307927866626
log_robust,3,7,0.31013500382789727,1.105646596645423,4826.679699489557,"{""0"": 2071, ""1"": 2328, ""2"": 1479}",1479,2328,25.161619598502895,39.605307927866626
log_robust,3,21,0.3101603401451661,1.1054637681271635,4826.689404580542,"{""0"": 1478, ""1"": 2072, ""2"": 2328}",1478,2328,25.1446070091868,39.605307927866626
log_robust,3,84,0.31026694644285546,1.1039889380138164,4826.673634289061,"{""0"": 2330, ""1"": 2077, ""2"": 1471}",1471,2330,25.02551888397414,39.63933310649881
log_robust,3,123,0.3101078442488251,1.1058496364086077,4826.639406619161,"{""0"": 2328, ""1"": 1481, ""2"": 2069}",1481,2328,25.19564477713508,39.605307927866626
